Generation,Best Fitness,Mean Fitness,Std Dev
0,2.9865524060196478,2.973561926138719,0.012990479880928607
1,2.989265748056262,2.987909077037955,0.001356671018307054
2,2.9934880132959787,2.9913768806761203,0.0021111326198584024
3,2.9964958691593555,2.996039716710186,0.00045615244916952236
4,2.999411482176041,2.9992390683586345,0.00017241381740640271
5,2.999442389332587,2.9994269357543137,1.5453578272817126e-05
6,2.9999810071361224,2.999979900831194,1.1063049285553461e-06
7,2.9999846288566756,2.9999828179963988,1.8108602766186976e-06
8,2.9999993776461893,2.999994353776551,5.023869638298706e-06
9,2.9999993776461893,2.999628595780101,0.0003705727025375215
