Generation,Best Fitness,Mean Fitness,Std Dev
0,2.9865524060196478,2.973561926138719,0.012990479880928607
1,2.989265748056262,2.987909077037955,0.001356671018307054
2,2.9934880132959787,2.9913768806761203,0.0021111326198584024
3,2.9964958691593555,2.996039716710186,0.00045615244916952236
4,2.999411482176041,2.9992390683586345,0.00017241381740640271
5,2.999442389332587,2.9994269357543137,1.5453578272817126e-05
6,2.9999810071361224,2.999979900831194,1.1063049285553461e-06
7,2.9999846288566756,2.9999828179963988,1.8108602766186976e-06
8,2.9999993776461893,2.999994353776551,5.023869638298706e-06
9,2.9999993776461893,2.999628595780101,0.0003705727025375215
10,2.9999993776461893,2.9999649856097275,3.625536284850138e-05
11,2.999999928862516,2.9999657211545,3.574695691183999e-05
12,2.999999928862516,2.9999904569262528,1.3273220240686343e-05
13,2.9999999653539704,2.9999904866191813,1.3294308306177253e-05
14,2.9999999941319633,2.999998780450159,1.6257129217055292e-06
15,2.999999999620405,2.999999834661493,1.944869691189756e-07
16,2.999999999722417,2.9999998349033485,1.9469137210934127e-07
17,2.99999999996981,2.9999999258604078,7.811955307036509e-08
18,2.999999999990545,2.9999999668575588,4.694042462258094e-08
19,2.999999999999608,2.999999999323058,6.791485172596793e-10
20,2.999999999999786,2.999999999323158,6.792480513316199e-10
21,2.9999999999999805,2.999999999616522,5.226312503631374e-10
22,2.9999999999999805,2.8904398452908793,0.24449045027246924
23,3.0000001936441656,2.9997507533585694,0.0004082144550279522
24,3.0000001936441656,2.857145392301558,0.3499006947905646
